EC 1.1.1.1 created 1961
EC 1.1.1.10 created 1961
EC 1.1.1.100 created 1972
EC 1.1.1.100 modified 1976
EC 1.1.1.101 created 1972
EC 1.1.1.101 modified 1976
EC 1.1.1.103 created 1972
EC 1.1.1.104 created 1972
EC 1.1.1.105 created 1972
EC 1.1.1.105 modified 2011
EC 1.1.1.106 created 1972
EC 1.1.1.106 modified 1976
EC 1.1.1.107 created 1972
EC 1.1.1.108 created 1972
EC 1.1.1.109 created 1972
EC 1.1.1.109 deleted 1976
EC 1.1.1.11 created 1961
EC 1.1.1.110 created 1972
EC 1.1.1.111 created 1972
EC 1.1.1.112 created 1972
EC 1.1.1.113 created 1972
EC 1.1.1.114 created 1972
EC 1.14.13.115 created 2010
EC 1.1.1.116 created 1972
EC 1.1.1.117 created 1972
EC 1.1.1.118 created 1972
EC 1.1.1.118 modified 1976
EC 1.1.1.119 created 1972
EC 1.1.1.12 created 1961
EC 1.1.1.120 created 1972
EC 1.1.1.121 created 1972
EC 1.1.1.122 created 1972
EC 1.1.1.123 created 1972
EC 1.1.1.123 modified 1976
EC 1.1.1.124 created 1972
EC 1.1.1.124 modified 1976
EC 1.1.1.125 created 1972
EC 1.1.1.126 created 1972
EC 1.1.1.127 created 1972
EC 1.1.1.127 modified 1976
EC 1.1.1.127 modified 1989
EC 1.1.1.128 created 1972
EC 1.1.1.128 modified 1976
EC 1.1.1.128 deleted 2012
EC 1.1.1.129 created 1972
EC 1.1.1.13 created 1961
EC 1.1.1.130 created 1972
EC 1.1.1.131 created 1972
EC 1.1.1.132 created 1972
EC 1.1.1.133 created 1972
EC 1.1.1.134 created 1972
EC 1.1.1.135 created 1972
EC 1.1.1.135 modified 1976
EC 1.1.1.136 created 1972
EC 1.1.1.136 modified 2012
EC 1.1.1.137 created 1972
EC 1.1.1.137 modified 2017
EC 1.1.1.138 created 1972
EC 1.1.1.139 created 1972
EC 1.1.1.139 deleted 1978
EC 1.1.1.14 created 1961
EC 1.1.1.14 modified 2011
EC 1.1.1.140 created 1972
EC 1.1.1.141 created 1972
EC 1.1.1.142 created 1972
EC 1.1.1.143 created 1972
EC 1.1.1.144 created 1972
EC 1.1.1.145 created 1972
EC 1.1.1.146 created 1972
EC 1.1.1.147 created 1972
EC 1.1.1.148 created 1972
EC 1.1.1.149 created 1972
EC 1.1.1.149 deleted 1983
EC 1.1.1.149 reinstated 1986
EC 1.1.1.15 created 1961
EC 1.1.1.150 created 1972
EC 1.1.1.151 created 1972
EC 1.1.1.152 created 1972
EC 1.1.1.153 created 1972
EC 1.1.1.153 modified 2012
EC 1.1.1.154 created 1976
EC 1.1.1.155 created 1976
EC 1.1.1.155 deleted 2004
